country,year,attack_type,target_industry,financial_loss_in_million,number_of_affected_users,attack_source,security_vulnerability_type,defense_mechanism_used,incident_resolution_time_in_hours,severity_score
France,2024,DDoS,Retail,88.17,738419,Unknown,Zero-day,Firewall,11,738507.17
Brazil,2018,Phishing,Retail,42.46,4136,Nation-state,Zero-day,Encryption,23,4178.46
India,2022,SQL Injection,Education,61.41,995847,Nation-state,Social Engineering,Encryption,1,995908.41
Japan,2022,Ransomware,Education,51.51,536995,Hacker Group,Weak Passwords,Encryption,3,537046.51
Germany,2016,Malware,Telecommunications,77.7,57200,Hacker Group,Social Engineering,VPN,26,57277.7
USA,2016,Phishing,Government,14.65,936566,Nation-state,Social Engineering,VPN,61,936580.65
Japan,2019,DDoS,Healthcare,68.4,567370,Insider,Unpatched Software,VPN,9,567438.4
India,2015,Malware,Banking,34.51,970056,Hacker Group,Unpatched Software,Firewall,30,970090.51
Brazil,2020,Ransomware,IT,71.74,3432,Hacker Group,Unpatched Software,AI-based Detection,45,3503.74
Brazil,2015,Malware,Education,37.54,49473,Insider,Social Engineering,Firewall,51,49510.54
France,2019,Man-in-the-Middle,IT,76.35,460984,Hacker Group,Zero-day,Firewall,55,461060.35
UK,2024,Phishing,IT,71.2,228010,Nation-state,Social Engineering,Antivirus,59,228081.2
Russia,2024,Ransomware,Government,48.88,172789,Hacker Group,Unpatched Software,VPN,10,172837.88
China,2020,Man-in-the-Middle,Retail,48.24,338732,Nation-state,Unpatched Software,Firewall,15,338780.24
Germany,2017,Ransomware,Healthcare,32,175755,Insider,Weak Passwords,Firewall,30,175787
Brazil,2023,DDoS,Education,50.34,897521,Nation-state,Social Engineering,AI-based Detection,19,897571.34
Russia,2016,Ransomware,Healthcare,5.18,719532,Insider,Unpatched Software,VPN,10,719537.18
Australia,2024,DDoS,Government,95.28,583925,Insider,Zero-day,Encryption,70,584020.28
Russia,2016,Phishing,Retail,70.4,480522,Unknown,Zero-day,Antivirus,72,480592.4
Brazil,2015,SQL Injection,IT,47.2,16957,Unknown,Zero-day,Firewall,49,17004.2
France,2016,Ransomware,IT,29.35,316228,Unknown,Unpatched Software,VPN,7,316257.35
Australia,2018,SQL Injection,Banking,20.28,363414,Insider,Unpatched Software,Antivirus,59,363434.28
UK,2015,Man-in-the-Middle,Telecommunications,71.9,733671,Insider,Zero-day,VPN,20,733742.9
France,2019,SQL Injection,Telecommunications,27.91,399457,Nation-state,Weak Passwords,Firewall,48,399484.91
China,2017,DDoS,Government,57.34,171772,Nation-state,Social Engineering,Firewall,8,171829.34
USA,2015,Phishing,Government,82.4,197305,Insider,Unpatched Software,AI-based Detection,34,197387.4
Russia,2023,Ransomware,Healthcare,15.08,677971,Insider,Social Engineering,VPN,51,677986.08
India,2021,Man-in-the-Middle,Banking,55.12,942454,Hacker Group,Social Engineering,VPN,66,942509.12
Russia,2022,Ransomware,Government,38.84,211205,Insider,Unpatched Software,Antivirus,54,211243.84
Japan,2024,Malware,Telecommunications,42.79,483399,Insider,Zero-day,Antivirus,50,483441.79
China,2016,DDoS,Telecommunications,97.83,699791,Nation-state,Weak Passwords,Encryption,2,699888.83
Germany,2019,Phishing,Education,10.04,679314,Nation-state,Unpatched Software,Antivirus,39,679324.04
Brazil,2020,SQL Injection,Retail,96.97,466897,Insider,Unpatched Software,VPN,58,466993.97
Brazil,2024,SQL Injection,Healthcare,41.05,175957,Hacker Group,Zero-day,Antivirus,69,175998.05
India,2019,Ransomware,Government,10.37,912202,Nation-state,Weak Passwords,VPN,15,912212.37
Russia,2019,DDoS,Education,33.73,985398,Nation-state,Social Engineering,Antivirus,54,985431.73
China,2023,SQL Injection,Education,4.18,715127,Nation-state,Weak Passwords,Antivirus,60,715131.18
USA,2021,Malware,Retail,72.24,472835,Hacker Group,Unpatched Software,Encryption,57,472907.24
Australia,2016,DDoS,Healthcare,98.25,412019,Unknown,Weak Passwords,Antivirus,34,412117.25
India,2021,SQL Injection,Retail,85.69,172469,Insider,Weak Passwords,Antivirus,16,172554.69
UK,2015,Phishing,Banking,39.12,893284,Unknown,Unpatched Software,AI-based Detection,21,893323.12
India,2021,Malware,Telecommunications,82.66,586,Hacker Group,Zero-day,VPN,23,668.66
Japan,2017,Phishing,IT,49.12,845169,Nation-state,Social Engineering,VPN,1,845218.12
Germany,2018,Ransomware,Government,89.36,184748,Unknown,Unpatched Software,Firewall,4,184837.36
Japan,2021,Malware,Healthcare,77.84,783976,Nation-state,Weak Passwords,Firewall,62,784053.84
France,2015,Phishing,IT,49.84,282583,Unknown,Weak Passwords,VPN,15,282632.84
Germany,2020,SQL Injection,Healthcare,96.31,591828,Unknown,Unpatched Software,Encryption,16,591924.31
India,2018,SQL Injection,Government,18.44,27344,Nation-state,Zero-day,VPN,1,27362.44
Australia,2024,Ransomware,Healthcare,18.16,200307,Unknown,Social Engineering,Antivirus,59,200325.16
China,2018,Man-in-the-Middle,IT,68.28,528411,Insider,Zero-day,AI-based Detection,10,528479.28
France,2015,Phishing,Banking,95.72,551812,Insider,Weak Passwords,Encryption,69,551907.72
Brazil,2019,SQL Injection,Education,96.6,975019,Unknown,Unpatched Software,Firewall,38,975115.6
China,2015,DDoS,Government,97.15,399851,Nation-state,Social Engineering,VPN,38,399948.15
India,2024,Ransomware,Government,79.3,998833,Hacker Group,Social Engineering,Firewall,21,998912.3
France,2017,Man-in-the-Middle,Education,76.35,517640,Hacker Group,Unpatched Software,Firewall,4,517716.35
Russia,2023,DDoS,Banking,33.51,615332,Hacker Group,Social Engineering,AI-based Detection,65,615365.51
France,2017,SQL Injection,Healthcare,96.08,592364,Insider,Weak Passwords,Antivirus,21,592460.08
China,2020,Phishing,Education,33.69,943680,Insider,Zero-day,AI-based Detection,46,943713.69
Brazil,2017,Man-in-the-Middle,Retail,17.99,506551,Unknown,Unpatched Software,Antivirus,53,506568.99
Japan,2022,Ransomware,Government,86.84,122651,Insider,Weak Passwords,AI-based Detection,59,122737.84
USA,2018,Man-in-the-Middle,Retail,97.62,459039,Nation-state,Weak Passwords,Firewall,68,459136.62
Germany,2021,Ransomware,IT,25.85,176331,Insider,Weak Passwords,Antivirus,25,176356.85
USA,2018,Ransomware,Healthcare,27.37,543437,Unknown,Unpatched Software,Firewall,20,543464.37
Germany,2022,SQL Injection,Telecommunications,29.02,859311,Insider,Zero-day,AI-based Detection,47,859340.02
USA,2018,DDoS,Retail,90.78,877041,Unknown,Unpatched Software,VPN,48,877131.78
France,2022,Ransomware,Healthcare,42.33,657939,Nation-state,Social Engineering,Antivirus,47,657981.33
Japan,2019,DDoS,Banking,81.89,920270,Nation-state,Unpatched Software,Antivirus,20,920351.89
USA,2015,Ransomware,Healthcare,43.81,905935,Unknown,Unpatched Software,VPN,60,905978.81
Australia,2019,Malware,Telecommunications,93.71,217863,Insider,Unpatched Software,VPN,31,217956.71
UK,2020,Man-in-the-Middle,Government,54.29,930468,Insider,Social Engineering,AI-based Detection,35,930522.29
Japan,2022,Phishing,Healthcare,55.72,179545,Unknown,Zero-day,Encryption,15,179600.72
India,2023,Ransomware,Retail,5.57,582097,Insider,Weak Passwords,Antivirus,40,582102.57
France,2023,SQL Injection,Banking,48.1,360752,Unknown,Zero-day,Antivirus,21,360800.1
India,2020,Phishing,Retail,25.79,907128,Insider,Unpatched Software,Antivirus,13,907153.79
UK,2024,Man-in-the-Middle,Banking,14.84,817793,Hacker Group,Social Engineering,VPN,64,817807.84
China,2024,Malware,Healthcare,85.76,922209,Nation-state,Zero-day,Antivirus,27,922294.76
USA,2019,DDoS,Retail,18.76,411707,Insider,Social Engineering,VPN,42,411725.76
India,2020,Phishing,Healthcare,38.19,847958,Insider,Weak Passwords,Firewall,32,847996.19
India,2015,Man-in-the-Middle,Banking,38.1,187807,Nation-state,Unpatched Software,VPN,37,187845.1
China,2024,SQL Injection,Telecommunications,10.18,637350,Unknown,Weak Passwords,Antivirus,52,637360.18
China,2024,SQL Injection,IT,36.27,237068,Hacker Group,Zero-day,Encryption,65,237104.27
Australia,2022,Ransomware,Government,92.07,819812,Nation-state,Unpatched Software,Encryption,63,819904.07
Brazil,2023,SQL Injection,Healthcare,72.9,434510,Hacker Group,Social Engineering,Firewall,72,434582.9
USA,2019,DDoS,Telecommunications,57.52,513601,Nation-state,Unpatched Software,VPN,14,513658.52
Japan,2015,Malware,Healthcare,5.79,821803,Unknown,Social Engineering,Firewall,40,821808.79
Russia,2020,Man-in-the-Middle,IT,14.68,12585,Unknown,Zero-day,Antivirus,30,12599.68
Russia,2020,Man-in-the-Middle,Telecommunications,10.12,405253,Hacker Group,Unpatched Software,Antivirus,52,405263.12
Japan,2017,DDoS,IT,86.89,703035,Unknown,Unpatched Software,Firewall,15,703121.89
Australia,2022,Phishing,Government,9.84,580402,Nation-state,Social Engineering,VPN,70,580411.84
France,2017,Man-in-the-Middle,Education,49.94,640572,Hacker Group,Social Engineering,Firewall,51,640621.94
Japan,2023,Phishing,Banking,75.13,85528,Hacker Group,Social Engineering,VPN,55,85603.13
UK,2024,Malware,Healthcare,33.21,79940,Unknown,Zero-day,Firewall,64,79973.21
China,2023,SQL Injection,Telecommunications,54.41,215401,Hacker Group,Social Engineering,VPN,50,215455.41
France,2018,Malware,IT,59.56,450313,Nation-state,Zero-day,AI-based Detection,26,450372.56
Australia,2016,Malware,Retail,45.71,461668,Nation-state,Unpatched Software,Firewall,10,461713.71
France,2021,Man-in-the-Middle,Banking,4.94,71156,Insider,Social Engineering,Encryption,34,71160.94
India,2017,Ransomware,Government,89.47,201732,Unknown,Zero-day,Antivirus,39,201821.47
Russia,2018,Man-in-the-Middle,Government,45.91,322132,Nation-state,Weak Passwords,Encryption,44,322177.91
Japan,2021,Phishing,Banking,82.85,854309,Insider,Zero-day,Antivirus,16,854391.85
USA,2016,Phishing,Retail,89.85,998085,Insider,Zero-day,VPN,7,998174.85
France,2018,Malware,IT,10.81,479628,Insider,Weak Passwords,VPN,13,479638.81
Russia,2022,Malware,Healthcare,34.32,554162,Insider,Weak Passwords,Encryption,33,554196.32
USA,2022,Phishing,Government,92.54,653402,Hacker Group,Social Engineering,Firewall,5,653494.54
UK,2016,Man-in-the-Middle,Government,62.9,119785,Hacker Group,Unpatched Software,Encryption,14,119847.9
Germany,2018,DDoS,Banking,48.76,754656,Hacker Group,Unpatched Software,VPN,35,754704.76
USA,2016,Malware,Retail,41.11,848855,Unknown,Unpatched Software,VPN,37,848896.11
China,2021,SQL Injection,Healthcare,57.2,328454,Nation-state,Zero-day,VPN,10,328511.2
Russia,2018,DDoS,Education,13.13,510702,Hacker Group,Weak Passwords,Firewall,15,510715.13
Australia,2015,Man-in-the-Middle,Education,20.96,248083,Hacker Group,Social Engineering,Encryption,70,248103.96
Brazil,2023,DDoS,Government,42.75,746425,Unknown,Zero-day,VPN,24,746467.75
Japan,2018,Ransomware,Education,82.89,336607,Unknown,Zero-day,AI-based Detection,17,336689.89
Brazil,2021,Ransomware,Government,21.21,570810,Insider,Social Engineering,Firewall,72,570831.21
France,2020,Malware,Banking,12.25,162930,Insider,Unpatched Software,Firewall,13,162942.25
Japan,2015,SQL Injection,Education,61.87,244406,Nation-state,Social Engineering,VPN,43,244467.87
Japan,2016,DDoS,Education,71.12,604557,Nation-state,Social Engineering,Encryption,20,604628.12
Germany,2024,Man-in-the-Middle,Education,26.58,313397,Hacker Group,Social Engineering,AI-based Detection,36,313423.58
Australia,2023,Malware,Retail,5.24,696902,Nation-state,Unpatched Software,Encryption,21,696907.24
UK,2024,Phishing,Banking,30.39,156576,Hacker Group,Unpatched Software,VPN,72,156606.39
UK,2020,Phishing,Healthcare,66.55,843310,Hacker Group,Zero-day,Antivirus,71,843376.55
China,2016,DDoS,Telecommunications,83.02,281862,Insider,Social Engineering,AI-based Detection,4,281945.02
India,2024,Ransomware,IT,88.23,526308,Insider,Unpatched Software,Antivirus,23,526396.23
Russia,2018,DDoS,IT,5.18,826924,Insider,Social Engineering,VPN,35,826929.18
China,2024,DDoS,IT,13.77,928751,Insider,Social Engineering,Encryption,26,928764.77
China,2021,Ransomware,Education,21.9,304804,Hacker Group,Weak Passwords,AI-based Detection,53,304825.9
Brazil,2024,Man-in-the-Middle,Education,34.42,960625,Nation-state,Weak Passwords,Firewall,48,960659.42
France,2019,Ransomware,Government,57.9,264088,Unknown,Weak Passwords,AI-based Detection,28,264145.9
Australia,2022,Phishing,Healthcare,61.97,633750,Insider,Unpatched Software,Antivirus,45,633811.97
China,2021,Ransomware,Healthcare,56.11,255531,Unknown,Social Engineering,Firewall,17,255587.11
Australia,2018,Ransomware,Banking,50.64,874035,Insider,Unpatched Software,Antivirus,38,874085.64
USA,2017,DDoS,Healthcare,64.99,632431,Insider,Zero-day,VPN,55,632495.99
Brazil,2018,Ransomware,Education,69.04,939146,Nation-state,Zero-day,Firewall,56,939215.04
India,2022,Man-in-the-Middle,Retail,13.82,633855,Hacker Group,Social Engineering,Antivirus,37,633868.82
Australia,2016,Malware,Government,22.48,686176,Nation-state,Zero-day,Firewall,62,686198.48
China,2022,Malware,Retail,11.31,561807,Unknown,Zero-day,Antivirus,17,561818.31
India,2023,SQL Injection,Government,60.53,15768,Unknown,Zero-day,VPN,66,15828.53
Germany,2019,Malware,Healthcare,98.45,32423,Hacker Group,Weak Passwords,Antivirus,45,32521.45
China,2021,SQL Injection,IT,97.06,329378,Nation-state,Weak Passwords,VPN,61,329475.06
India,2020,Phishing,Healthcare,64.7,541451,Hacker Group,Weak Passwords,Encryption,17,541515.7
China,2020,Man-in-the-Middle,Education,1.05,255393,Unknown,Unpatched Software,Encryption,71,255394.05
Japan,2017,Phishing,Government,89.97,141115,Hacker Group,Zero-day,AI-based Detection,9,141204.97
India,2015,Man-in-the-Middle,Telecommunications,48.58,358210,Nation-state,Zero-day,AI-based Detection,11,358258.58
Japan,2023,Man-in-the-Middle,Education,16.42,60322,Insider,Zero-day,VPN,22,60338.42
China,2019,Ransomware,Government,15.42,555153,Unknown,Zero-day,Encryption,11,555168.42
India,2018,SQL Injection,Healthcare,47.15,98266,Insider,Social Engineering,Firewall,18,98313.15
Russia,2019,Man-in-the-Middle,IT,52.8,633511,Insider,Zero-day,VPN,58,633563.8
UK,2015,Man-in-the-Middle,Banking,64.88,976213,Unknown,Social Engineering,Firewall,28,976277.88
Brazil,2016,DDoS,Telecommunications,94.1,838739,Unknown,Social Engineering,VPN,21,838833.1
China,2023,Ransomware,IT,23.18,367503,Nation-state,Weak Passwords,Encryption,17,367526.18
China,2018,Ransomware,Education,17.44,598614,Insider,Social Engineering,VPN,59,598631.44
France,2022,Phishing,Retail,22.72,629571,Hacker Group,Unpatched Software,VPN,41,629593.72
Japan,2021,Man-in-the-Middle,Education,69.99,834355,Nation-state,Unpatched Software,AI-based Detection,71,834424.99
USA,2020,Man-in-the-Middle,IT,87.88,731495,Nation-state,Unpatched Software,Antivirus,3,731582.88
UK,2020,SQL Injection,Retail,69.91,354637,Insider,Social Engineering,VPN,63,354706.91
USA,2020,Ransomware,Banking,27.45,60428,Nation-state,Weak Passwords,Antivirus,27,60455.45
China,2024,DDoS,Retail,13.17,95351,Nation-state,Unpatched Software,Antivirus,11,95364.17
Brazil,2020,Phishing,Retail,50.99,826159,Insider,Weak Passwords,VPN,3,826209.99
France,2020,SQL Injection,Healthcare,66.92,234301,Insider,Zero-day,AI-based Detection,32,234367.92
UK,2020,Phishing,Healthcare,39.47,551014,Nation-state,Social Engineering,Firewall,71,551053.47
Brazil,2017,SQL Injection,Telecommunications,4.35,809757,Nation-state,Social Engineering,VPN,61,809761.35
UK,2017,Malware,Healthcare,24.06,612319,Unknown,Social Engineering,Antivirus,47,612343.06
UK,2015,Phishing,Telecommunications,21.8,312051,Nation-state,Unpatched Software,VPN,41,312072.8
USA,2018,Phishing,Banking,89.74,279786,Insider,Zero-day,VPN,46,279875.74
Australia,2016,Phishing,Government,72.34,847817,Hacker Group,Social Engineering,Firewall,13,847889.34
Australia,2016,Man-in-the-Middle,Education,37.48,382682,Nation-state,Zero-day,Firewall,12,382719.48
USA,2021,Phishing,IT,38.2,159917,Insider,Zero-day,Antivirus,47,159955.2
France,2023,Man-in-the-Middle,Government,85.85,841548,Unknown,Zero-day,Firewall,68,841633.85
Japan,2017,DDoS,Healthcare,5.5,751586,Nation-state,Social Engineering,AI-based Detection,24,751591.5
Germany,2024,Man-in-the-Middle,Banking,53.51,680154,Nation-state,Zero-day,Firewall,2,680207.51
France,2023,Phishing,Education,37.38,978508,Insider,Weak Passwords,Firewall,42,978545.38
Germany,2020,Man-in-the-Middle,IT,84.55,392247,Unknown,Zero-day,Antivirus,7,392331.55
Russia,2023,SQL Injection,Retail,34.87,446911,Unknown,Weak Passwords,Firewall,25,446945.87
Australia,2023,Ransomware,IT,17.26,777799,Insider,Weak Passwords,Firewall,2,777816.26
Australia,2016,Ransomware,Healthcare,82.99,799581,Nation-state,Zero-day,AI-based Detection,50,799663.99
Germany,2015,Man-in-the-Middle,Retail,85.34,819676,Hacker Group,Zero-day,Antivirus,59,819761.34
Japan,2023,SQL Injection,Telecommunications,31.46,192430,Nation-state,Unpatched Software,AI-based Detection,49,192461.46
UK,2016,DDoS,Telecommunications,74.5,735,Hacker Group,Unpatched Software,Firewall,69,809.5
USA,2023,Ransomware,Healthcare,12.79,654947,Insider,Social Engineering,Encryption,23,654959.79
USA,2018,DDoS,Banking,10.01,327826,Hacker Group,Social Engineering,AI-based Detection,35,327836.01
France,2016,Man-in-the-Middle,Healthcare,23.99,106126,Unknown,Weak Passwords,Antivirus,19,106149.99
Russia,2022,Man-in-the-Middle,IT,34.57,46493,Insider,Unpatched Software,Encryption,62,46527.57
Japan,2021,Man-in-the-Middle,Education,15.78,733307,Nation-state,Social Engineering,Firewall,29,733322.78
France,2015,Malware,Government,71.91,789673,Unknown,Weak Passwords,Antivirus,31,789744.91
China,2017,Ransomware,Education,64.93,159061,Insider,Weak Passwords,Firewall,12,159125.93
China,2020,Phishing,Education,6.35,80748,Hacker Group,Zero-day,Encryption,8,80754.35
UK,2020,Man-in-the-Middle,IT,85.85,697536,Unknown,Social Engineering,AI-based Detection,72,697621.85
Brazil,2019,SQL Injection,Healthcare,46.5,748146,Insider,Weak Passwords,AI-based Detection,13,748192.5
Russia,2020,Man-in-the-Middle,Telecommunications,64.39,803579,Unknown,Weak Passwords,VPN,1,803643.39
France,2021,Phishing,Retail,13.47,537683,Insider,Unpatched Software,VPN,41,537696.47
France,2020,DDoS,Retail,40.72,743271,Nation-state,Social Engineering,Firewall,10,743311.72
Australia,2018,Malware,Telecommunications,36.01,215231,Unknown,Zero-day,AI-based Detection,49,215267.01
UK,2022,Phishing,Banking,57.89,135941,Nation-state,Social Engineering,AI-based Detection,7,135998.89
USA,2017,Phishing,IT,7.95,362478,Hacker Group,Zero-day,Encryption,67,362485.95
Russia,2022,DDoS,Education,13.89,537149,Nation-state,Unpatched Software,VPN,54,537162.89
China,2016,SQL Injection,Retail,96.28,162061,Insider,Zero-day,Firewall,32,162157.28
China,2016,Ransomware,Banking,94.63,455702,Hacker Group,Weak Passwords,Antivirus,5,455796.63
UK,2021,Ransomware,Telecommunications,13.26,448367,Nation-state,Social Engineering,AI-based Detection,7,448380.26
France,2019,Malware,Retail,21.92,603904,Nation-state,Unpatched Software,Firewall,38,603925.92
France,2016,Malware,IT,81.81,331741,Hacker Group,Social Engineering,Antivirus,29,331822.81
Japan,2023,Ransomware,Education,58.79,983506,Hacker Group,Social Engineering,AI-based Detection,35,983564.79
China,2015,Phishing,Retail,14.72,914743,Insider,Social Engineering,AI-based Detection,69,914757.72
Germany,2022,Malware,Banking,59.7,258587,Insider,Social Engineering,VPN,7,258646.7
Brazil,2020,Man-in-the-Middle,Retail,16.26,527964,Insider,Zero-day,Firewall,28,527980.26
Brazil,2015,Phishing,Banking,29.61,593384,Unknown,Zero-day,Firewall,65,593413.61
UK,2023,Malware,IT,82.38,386972,Insider,Unpatched Software,AI-based Detection,56,387054.38
China,2017,DDoS,Healthcare,96.49,644339,Insider,Unpatched Software,Antivirus,71,644435.49
Brazil,2024,DDoS,Healthcare,76.39,782425,Insider,Weak Passwords,Encryption,13,782501.39
Russia,2024,SQL Injection,Banking,79.98,84185,Nation-state,Weak Passwords,VPN,2,84264.98
UK,2022,Malware,Healthcare,91.65,337120,Insider,Weak Passwords,Firewall,59,337211.65
UK,2020,Phishing,Banking,3.84,241282,Hacker Group,Social Engineering,Encryption,55,241285.84
China,2023,DDoS,Healthcare,97.15,734819,Unknown,Unpatched Software,AI-based Detection,50,734916.15
Australia,2024,DDoS,Healthcare,77.04,8517,Hacker Group,Weak Passwords,Encryption,4,8594.04
UK,2018,Man-in-the-Middle,Government,91.52,865257,Nation-state,Social Engineering,VPN,19,865348.52
Germany,2023,SQL Injection,Education,37.4,662428,Insider,Weak Passwords,AI-based Detection,4,662465.4
China,2020,Malware,Healthcare,11.89,646567,Insider,Unpatched Software,VPN,15,646578.89
USA,2019,DDoS,Telecommunications,43.29,266748,Unknown,Unpatched Software,Antivirus,30,266791.29
USA,2022,Ransomware,Retail,92.88,771367,Hacker Group,Social Engineering,Firewall,5,771459.88
USA,2020,DDoS,Banking,99.81,948174,Unknown,Social Engineering,AI-based Detection,4,948273.81
Brazil,2017,DDoS,Healthcare,62.74,460264,Unknown,Social Engineering,Firewall,9,460326.74
USA,2017,DDoS,Government,96.89,794147,Unknown,Unpatched Software,Antivirus,4,794243.89
France,2015,SQL Injection,IT,43.86,72222,Unknown,Weak Passwords,Firewall,64,72265.86
France,2020,DDoS,Telecommunications,66.27,995231,Nation-state,Weak Passwords,Firewall,53,995297.27
Japan,2021,Malware,Retail,90.8,841766,Nation-state,Social Engineering,AI-based Detection,16,841856.8
Russia,2015,Man-in-the-Middle,IT,95.04,566542,Unknown,Weak Passwords,Firewall,58,566637.04
UK,2022,Malware,Healthcare,12.67,781284,Hacker Group,Weak Passwords,Firewall,11,781296.67
UK,2021,Phishing,IT,89.59,361270,Nation-state,Weak Passwords,VPN,31,361359.59
India,2022,Malware,Telecommunications,97.03,404834,Hacker Group,Zero-day,VPN,62,404931.03
China,2023,DDoS,Government,53.46,374484,Unknown,Unpatched Software,Antivirus,46,374537.46
Australia,2020,SQL Injection,IT,21.02,681476,Unknown,Weak Passwords,VPN,6,681497.02
India,2019,SQL Injection,Retail,15.39,514826,Hacker Group,Unpatched Software,Firewall,72,514841.39
Japan,2022,Malware,Education,97.32,742866,Nation-state,Social Engineering,Encryption,61,742963.32
UK,2016,Ransomware,Healthcare,61.66,639896,Hacker Group,Social Engineering,VPN,63,639957.66
Australia,2022,SQL Injection,IT,15.29,42346,Hacker Group,Unpatched Software,VPN,33,42361.29
Japan,2019,Malware,Telecommunications,5.88,235399,Unknown,Social Engineering,Antivirus,21,235404.88
USA,2015,Man-in-the-Middle,Retail,24.93,448426,Nation-state,Weak Passwords,VPN,36,448450.93
France,2020,Ransomware,Retail,97.37,467137,Nation-state,Social Engineering,Encryption,14,467234.37
Japan,2017,SQL Injection,Education,11.49,364107,Hacker Group,Social Engineering,AI-based Detection,28,364118.49
India,2022,Man-in-the-Middle,Government,4.05,357898,Hacker Group,Social Engineering,Firewall,27,357902.05
China,2016,DDoS,Banking,76.9,605118,Insider,Social Engineering,Firewall,30,605194.9
Russia,2022,Man-in-the-Middle,Education,96.44,106169,Nation-state,Unpatched Software,Encryption,28,106265.44
France,2016,Ransomware,Healthcare,34.29,157547,Insider,Unpatched Software,AI-based Detection,29,157581.29
Brazil,2022,SQL Injection,Healthcare,56.63,242677,Insider,Social Engineering,Encryption,21,242733.63
China,2016,SQL Injection,Banking,63.67,385872,Insider,Zero-day,Firewall,50,385935.67
Germany,2018,DDoS,Retail,80.85,148209,Insider,Weak Passwords,Antivirus,54,148289.85
Japan,2022,DDoS,Healthcare,9.5,387457,Nation-state,Weak Passwords,VPN,61,387466.5
Russia,2023,Malware,IT,47.22,404004,Nation-state,Social Engineering,Encryption,58,404051.22
UK,2018,Ransomware,Retail,28.98,981029,Nation-state,Weak Passwords,Antivirus,42,981057.98
France,2017,Malware,Telecommunications,96.63,389525,Unknown,Zero-day,Antivirus,32,389621.63
India,2019,SQL Injection,IT,43.97,764974,Nation-state,Weak Passwords,VPN,18,765017.97
India,2017,Man-in-the-Middle,Healthcare,91.4,621971,Nation-state,Weak Passwords,AI-based Detection,49,622062.4
Brazil,2024,SQL Injection,IT,53.71,680584,Insider,Zero-day,AI-based Detection,5,680637.71
China,2018,SQL Injection,Education,15.36,907858,Nation-state,Social Engineering,Encryption,47,907873.36
Russia,2021,SQL Injection,Banking,80.68,983047,Hacker Group,Unpatched Software,Antivirus,19,983127.68
France,2015,Malware,Government,17.3,610049,Hacker Group,Social Engineering,AI-based Detection,37,610066.3
India,2021,SQL Injection,IT,52.16,100105,Unknown,Zero-day,Firewall,56,100157.16
USA,2023,SQL Injection,Government,89.46,59398,Hacker Group,Zero-day,Antivirus,8,59487.46
USA,2023,Malware,Banking,35.91,91974,Hacker Group,Zero-day,AI-based Detection,41,92009.91
Brazil,2019,Ransomware,Healthcare,9.32,785564,Insider,Unpatched Software,Antivirus,70,785573.32
China,2023,Phishing,Banking,15.21,597516,Nation-state,Unpatched Software,Antivirus,15,597531.21
UK,2019,Ransomware,IT,17.98,799372,Hacker Group,Zero-day,AI-based Detection,14,799389.98
France,2018,SQL Injection,Banking,32.84,77096,Unknown,Weak Passwords,VPN,29,77128.84
Brazil,2023,Man-in-the-Middle,Retail,59.18,610786,Nation-state,Social Engineering,AI-based Detection,31,610845.18
Japan,2021,SQL Injection,Telecommunications,28.33,667271,Insider,Weak Passwords,Firewall,22,667299.33
China,2023,Phishing,Banking,33.27,133315,Nation-state,Weak Passwords,AI-based Detection,25,133348.27
Brazil,2019,SQL Injection,Government,24.93,381105,Unknown,Weak Passwords,Encryption,3,381129.93
UK,2020,Ransomware,Banking,98.07,795120,Unknown,Social Engineering,Firewall,42,795218.07
Russia,2017,SQL Injection,Healthcare,67.13,198285,Nation-state,Unpatched Software,Encryption,56,198352.13
India,2023,DDoS,Government,34.46,580270,Unknown,Unpatched Software,Firewall,35,580304.46
UK,2018,Ransomware,Retail,45.67,277410,Hacker Group,Social Engineering,Firewall,42,277455.67
Australia,2022,Man-in-the-Middle,Government,38.29,793946,Nation-state,Weak Passwords,Firewall,12,793984.29
Australia,2019,Ransomware,Banking,15.21,126770,Insider,Weak Passwords,Encryption,67,126785.21
Australia,2016,Phishing,IT,55.18,66776,Unknown,Zero-day,Encryption,29,66831.18
China,2018,DDoS,Telecommunications,83.5,434797,Insider,Social Engineering,Antivirus,21,434880.5
France,2024,SQL Injection,Retail,3.07,901137,Nation-state,Zero-day,Antivirus,10,901140.07
Australia,2020,Man-in-the-Middle,Banking,34.59,427407,Unknown,Unpatched Software,Encryption,47,427441.59
USA,2021,Phishing,Banking,28.75,959107,Unknown,Zero-day,Antivirus,35,959135.75
Russia,2017,Man-in-the-Middle,IT,55.23,12439,Nation-state,Weak Passwords,Firewall,20,12494.23
Germany,2021,Man-in-the-Middle,Banking,14.45,292854,Nation-state,Unpatched Software,AI-based Detection,14,292868.45
USA,2023,Malware,Banking,66.06,189116,Insider,Social Engineering,AI-based Detection,53,189182.06
USA,2017,Phishing,Telecommunications,19.6,889404,Unknown,Weak Passwords,Firewall,60,889423.6
USA,2017,Man-in-the-Middle,Retail,58.98,566242,Nation-state,Social Engineering,VPN,63,566300.98
Brazil,2015,SQL Injection,IT,86.67,694491,Unknown,Unpatched Software,Firewall,65,694577.67
Australia,2015,DDoS,Education,51.54,297721,Nation-state,Weak Passwords,Antivirus,29,297772.54
China,2024,SQL Injection,Education,13.61,394335,Unknown,Zero-day,Encryption,43,394348.61
